Time,Altitude,Position East of launch,Position North of launch
15.650000000,2716.006000000,-10.398000000,-16.733000000
15.700000000,2719.863000000,-10.363000000,-16.642000000
15.750000000,2723.691000000,-10.327000000,-16.551000000
15.800000000,2727.491000000,-10.292000000,-16.460000000
15.850000000,2731.263000000,-10.257000000,-16.371000000
15.900000000,2735.006000000,-10.223000000,-16.282000000
15.950000000,2738.721000000,-10.189000000,-16.194000000
16.000000000,2742.407000000,-10.155000000,-16.105000000
16.050000000,2746.066000000,-10.120000000,-16.016000000
16.100000000,2749.696000000,-10.085000000,-15.926000000
16.150000000,2753.299000000,-10.050000000,-15.833000000
16.200000000,2756.874000000,-10.013000000,-15.740000000
16.250000000,2760.421000000,-9.976000000,-15.645000000
16.300000000,2763.941000000,-9.939000000,-15.549000000
16.350000000,2767.433000000,-9.902000000,-15.452000000
16.400000000,2770.897000000,-9.864000000,-15.356000000
16.450000000,2774.333000000,-9.827000000,-15.261000000
16.500000000,2777.741000000,-9.791000000,-15.167000000
16.550000000,2781.122000000,-9.754000000,-15.073000000
16.600000000,2784.475000000,-9.718000000,-14.980000000
16.650000000,2787.800000000,-9.682000000,-14.886000000
16.700000000,2791.099000000,-9.645000000,-14.791000000
16.750000000,2794.370000000,-9.608000000,-14.696000000
16.800000000,2797.613000000,-9.571000000,-14.599000000
16.850000000,2800.830000000,-9.532000000,-14.500000000
16.900000000,2804.020000000,-9.493000000,-14.400000000
16.950000000,2807.183000000,-9.454000000,-14.299000000
17.000000000,2810.318000000,-9.414000000,-14.198000000
17.050000000,2813.427000000,-9.375000000,-14.096000000
17.100000000,2816.509000000,-9.335000000,-13.994000000
17.150000000,2819.563000000,-9.295000000,-13.893000000
17.200000000,2822.590000000,-9.256000000,-13.792000000
17.250000000,2825.591000000,-9.217000000,-13.691000000
17.300000000,2828.564000000,-9.177000000,-13.590000000
17.350000000,2831.511000000,-9.138000000,-13.489000000
17.400000000,2834.431000000,-9.099000000,-13.387000000
17.450000000,2837.324000000,-9.059000000,-13.285000000
