Time,Altitude,Position East of launch,Position North of launch
12.751000000,2441.472000000,-11.334000000,-19.923000000
12.801000000,2447.110000000,-11.311000000,-19.865000000
12.851000000,2452.715000000,-11.288000000,-19.809000000
12.901000000,2458.286000000,-11.265000000,-19.753000000
12.951000000,2463.823000000,-11.242000000,-19.697000000
13.001000000,2469.328000000,-11.218000000,-19.639000000
13.051000000,2474.799000000,-11.194000000,-19.579000000
13.101000000,2480.238000000,-11.169000000,-19.518000000
13.151000000,2485.644000000,-11.144000000,-19.457000000
13.201000000,2491.017000000,-11.119000000,-19.396000000
13.251000000,2496.357000000,-11.094000000,-19.334000000
13.301000000,2501.666000000,-11.068000000,-19.271000000
13.351000000,2506.942000000,-11.041000000,-19.205000000
13.401000000,2512.185000000,-11.014000000,-19.137000000
13.451000000,2517.397000000,-10.987000000,-19.070000000
13.501000000,2522.577000000,-10.960000000,-19.003000000
13.551000000,2527.724000000,-10.933000000,-18.938000000
13.601000000,2532.839000000,-10.907000000,-18.874000000
13.651000000,2537.922000000,-10.881000000,-18.808000000
13.701000000,2542.975000000,-10.853000000,-18.739000000
13.751000000,2547.995000000,-10.824000000,-18.667000000
13.801000000,2552.985000000,-10.795000000,-18.594000000
13.851000000,2557.943000000,-10.765000000,-18.521000000
13.901000000,2562.870000000,-10.736000000,-18.448000000
13.951000000,2567.765000000,-10.707000000,-18.377000000
14.001000000,2572.629000000,-10.679000000,-18.305000000
14.051000000,2577.462000000,-10.650000000,-18.233000000
14.101000000,2582.264000000,-10.621000000,-18.160000000
14.151000000,2587.036000000,-10.591000000,-18.086000000
14.201000000,2591.777000000,-10.560000000,-18.008000000
14.251000000,2596.487000000,-10.528000000,-17.929000000
14.301000000,2601.167000000,-10.496000000,-17.849000000
14.351000000,2605.817000000,-10.464000000,-17.769000000
14.401000000,2610.436000000,-10.432000000,-17.691000000
14.451000000,2615.024000000,-10.401000000,-17.613000000
14.501000000,2619.582000000,-10.371000000,-17.536000000
14.551000000,2624.110000000,-10.339000000,-17.458000000
14.601000000,2628.608000000,-10.307000000,-17.378000000
14.651000000,2633.076000000,-10.275000000,-17.296000000
14.701000000,2637.514000000,-10.242000000,-17.214000000
14.751000000,2641.922000000,-10.209000000,-17.132000000
14.801000000,2646.301000000,-10.177000000,-17.050000000
14.851000000,2650.649000000,-10.144000000,-16.968000000
14.901000000,2654.968000000,-10.112000000,-16.886000000
14.951000000,2659.258000000,-10.079000000,-16.804000000
15.000000000,2663.470000000,-10.046000000,-16.721000000
15.050000000,2667.701000000,-10.012000000,-16.636000000
15.100000000,2671.903000000,-9.977000000,-16.549000000
15.150000000,2676.076000000,-9.941000000,-16.461000000
15.200000000,2680.220000000,-9.906000000,-16.372000000
15.250000000,2684.334000000,-9.871000000,-16.284000000
15.300000000,2688.420000000,-9.836000000,-16.196000000
15.350000000,2692.476000000,-9.801000000,-16.109000000
15.400000000,2696.503000000,-9.767000000,-16.021000000
15.450000000,2700.501000000,-9.732000000,-15.934000000
15.500000000,2704.471000000,-9.697000000,-15.847000000
15.550000000,2708.412000000,-9.662000000,-15.757000000
15.600000000,2712.325000000,-9.625000000,-15.666000000
15.650000000,2716.209000000,-9.588000000,-15.574000000
15.700000000,2720.064000000,-9.551000000,-15.480000000
15.750000000,2723.892000000,-9.513000000,-15.386000000
15.800000000,2727.690000000,-9.476000000,-15.292000000
15.850000000,2731.461000000,-9.438000000,-15.199000000
15.900000000,2735.202000000,-9.402000000,-15.106000000
15.950000000,2738.916000000,-9.365000000,-15.015000000
16.000000000,2742.601000000,-9.329000000,-14.923000000
16.050000000,2746.258000000,-9.292000000,-14.831000000
